Q_ID,Domain,Question,Answer,Difficulty,Source
212,ML,What is word embedding and why are contextual embeddings (like BERT) better than static embeddings (like Word2Vec)?,Contextual embeddings vary with context and capture different senses; static embeddings are single vectors per word.,Easy,"Mikolov, T., Sutskever, I., Chen, K., Corrado, G., & Dean, J. (2013). “Efficient Estimation of Word Representations in Vector Space.” ICLR."
213,ML,What is fine-tuning vs. prompt engineering for LLMs? Give pros and cons of each.,Fine-tuning adjusts weights for better accuracy; prompt engineering manipulates inputs; choose based on resources and task stability.,Easy,"Sennrich, R., Haddow, B., & Birch, A. (2016). “Neural Machine Translation of Rare Words with Subword Units.” ACL."
214,ML,What is the difference between policy-based and value-based reinforcement learning methods?,Policy-based optimizes policy directly; value-based learns value estimates and derives actions; hybrids exist (actor-critic).,Easy,"He, H., & Garcia, E. A. (2009). “Learning from Imbalanced Data.” IEEE Transactions on Knowledge and Data Engineering."
215,ML,Explain the bias-variance tradeoff and give an example of a high-bias and a high-variance model.,"Bias: systematic error due to model assumptions; Variance: sensitivity to training data fluctuations.
 Example: linear regression on nonlinear target -> high bias; deep unpruned tree -> high variance.",Easy,"Wei, J., & Zou, J. (2022). “Instruction Tuning for Large Language Models.” arXiv:2210.11416."
216,ML,What is batch normalization and why is it used in training deep networks?,"BatchNorm normalizes activations per batch, improves training stability and speeds convergence; uses learned γ, β and running stats at inference.",Easy,"Ouyang, L., et al. (2022). “Training Language Models to Follow Instructions with Human Feedback (InstructGPT).” arXiv:2203.02155."
217,ML,What is transfer learning in computer vision and how is it commonly applied with CNNs?,"Use pretrained CNN as feature extractor, replace head; freeze lower layers for small datasets, fine-tune for larger datasets.",Easy,"Hu, E. J., Shen, Y., Wallis, P., et al. (2022). “LoRA: Low-Rank Adaptation of Large Language Models.” arXiv:2106.09685."
218,ML,What is word embedding and why are contextual embeddings (like BERT) better than static embeddings (like Word2Vec)?,Contextual embeddings vary with context and capture different senses; static embeddings are single vectors per word.,Easy,"Sutton, R. S., & Barto, A. G. (2018). Reinforcement Learning: An Introduction (2nd ed.). MIT Press."
219,ML,What is fine-tuning vs. prompt engineering for LLMs? Give pros and cons of each.,Fine-tuning adjusts weights for better accuracy; prompt engineering manipulates inputs; choose based on resources and task stability.,Easy,"Mnih, V., et al. (2015). “Human-Level Control through Deep Reinforcement Learning.” Nature, 518(7540)."
220,ML,What is the difference between policy-based and value-based reinforcement learning methods?,Policy-based optimizes policy directly; value-based learns value estimates and derives actions; hybrids exist (actor-critic).,Easy,"Schaul, T., Quan, J., Antonoglou, I., & Silver, D. (2016). “Prioritized Experience Replay.” ICLR."
221,ML,Explain the bias-variance tradeoff and give an example of a high-bias and a high-variance model.,"Bias: systematic error due to model assumptions; Variance: sensitivity to training data fluctuations.
 Example: linear regression on nonlinear target -> high bias; deep unpruned tree -> high variance.",Easy,"Schulman, J., Wolski, F., Dhariwal, P., Radford, A., & Klimov, O. (2017). “Proximal Policy Optimization Algorithms.” arXiv:1707.06347."
222,ML,What is batch normalization and why is it used in training deep networks?,"BatchNorm normalizes activations per batch, improves training stability and speeds convergence; uses learned γ, β and running stats at inference.",Easy,"Ng, A. (2017). Machine Learning Specialization. Coursera / Stanford Online."
223,ML,What is transfer learning in computer vision and how is it commonly applied with CNNs?,"Use pretrained CNN as feature extractor, replace head; freeze lower layers for small datasets, fine-tune for larger datasets.",Easy,"Goodfellow, I., Bengio, Y., & Courville, A. (2016). Deep Learning. MIT Press."
224,ML,What is word embedding and why are contextual embeddings (like BERT) better than static embeddings (like Word2Vec)?,Contextual embeddings vary with context and capture different senses; static embeddings are single vectors per word.,Easy,"Long, J., Shelhamer, E., & Darrell, T. (2015). “Fully Convolutional Networks for Semantic Segmentation.” CVPR."
225,ML,What is fine-tuning vs. prompt engineering for LLMs? Give pros and cons of each.,Fine-tuning adjusts weights for better accuracy; prompt engineering manipulates inputs; choose based on resources and task stability.,Easy,"Dosovitskiy, A., et al. (2021). “An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale.” ICLR."
226,ML,What is the difference between policy-based and value-based reinforcement learning methods?,Policy-based optimizes policy directly; value-based learns value estimates and derives actions; hybrids exist (actor-critic).,Easy,"Vaswani, A., et al. (2017). “Attention is All You Need.” NeurIPS."
227,ML,Explain the bias-variance tradeoff and give an example of a high-bias and a high-variance model.,"Bias: systematic error due to model assumptions; Variance: sensitivity to training data fluctuations.
 Example: linear regression on nonlinear target -> high bias; deep unpruned tree -> high variance.",Easy,"Hochreiter, S., & Schmidhuber, J. (1997). “Long Short-Term Memory.” Neural Computation, 9(8)."
228,ML,What is the difference between Supervised and Unsupervised Learning?,Supervised uses labeled data for prediction; Unsupervised finds patterns in unlabeled data.,Easy,"Bishop, C. M. (2006). Pattern Recognition and Machine Learning."
229,ML,"What is the purpose of splitting data into Training, Validation, and Test sets?",Train: fit model; Val: tune hyperparameters; Test: final unbiased evaluation.,Easy,"Hastie, T., et al. (2009). The Elements of Statistical Learning."
230,ML,Define Precision and Recall.,Precision: accuracy of positive predictions; Recall: coverage of actual positives.,Easy,"Goodfellow, I., et al. (2016). Deep Learning. MIT Press."
231,ML,What is Overfitting and how can it be detected?,Model learns noise; detected by low training error but high test error.,Easy,"Bishop, C. M. (2006). Pattern Recognition and Machine Learning."
232,ML,What is the role of the learning rate in Gradient Descent?,Controls step size in optimization; balances convergence speed and stability.,Easy,"Goodfellow, I., et al. (2016). Deep Learning. MIT Press."
233,ML,What is K-Fold Cross-Validation?,Technique to estimate model performance by averaging over K data splits.,Easy,"Hastie, T., et al. (2009). The Elements of Statistical Learning."
234,ML,Explain the difference between L1 and L2 Regularization.,L1 leads to sparse weights (feature selection); L2 shrinks weights evenly.,Easy,"Tibshirani, R. (1996). Regression Shrinkage and Selection via the Lasso."
235,ML,What is the Curse of Dimensionality?,Performance degradation in high-dimensional spaces due to data sparsity.,Easy,"Bellman, R. (1961). Adaptive Control Processes: A Guided Tour."
236,ML,What is an Epoch in training?,One complete pass of the full training dataset through the model.,Easy,"Goodfellow, I., et al. (2016). Deep Learning. MIT Press."
237,ML,What is the function of the Softmax activation?,Converts logits into probabilities summing to 1 for multi-class classification.,Easy,"Bishop, C. M. (2006). Pattern Recognition and Machine Learning."
238,ML,What is a Tensor?,A multi-dimensional array used to represent data in Deep Learning.,Easy,"Goodfellow, I., et al. (2016). Deep Learning. MIT Press."
239,ML,What is a Convolutional Neural Network (CNN)?,"Neural network using convolution layers, specialized for processing grid-like data (images).",Easy,"LeCun, Y., et al. (1998). Gradient-Based Learning Applied to Document Recognition."
240,ML,What is Max Pooling?,Down-sampling by taking the maximum value in a window; reduces spatial size.,Easy,"Goodfellow, I., et al. (2016). Deep Learning. MIT Press."
241,ML,What are Stop Words?,"Common words filtered out during text processing (e.g., 'the', 'and').",Easy,"Jurafsky, D., & Martin, J. H. (2008). Speech and Language Processing."
242,ML,What is Tokenization?,Splitting text into smaller units (words/subwords) for processing.,Easy,"Manning, C., et al. (2008). Introduction to Information Retrieval."
243,ML,What is a Decision Tree?,Tree model splitting data based on feature values to predict target.,Easy,"Quinlan, J. R. (1986). Induction of Decision Trees. Machine Learning."
244,ML,What is Logistic Regression used for?,Binary classification algorithm modeling probability using sigmoid function.,Easy,"Hastie, T., et al. (2009). The Elements of Statistical Learning."
245,ML,What is K-Means Clustering?,Unsupervised algorithm partitioning data into K clusters by minimizing variance.,Easy,"MacQueen, J. (1967). Some methods for classification and analysis of multivariate observations."
246,ML,What is an Agent in RL?,The learner/decision-maker that interacts with the environment.,Easy,"Sutton, R. S., & Barto, A. G. (2018). Reinforcement Learning: An Introduction."
247,ML,What is a Reward Signal?,Feedback indicating the immediate success of an action.,Easy,"Sutton, R. S., & Barto, A. G. (2018). Reinforcement Learning: An Introduction."
248,ML,What is the purpose of an Activation Function?,"Introduces non-linearity, allowing the network to learn complex patterns.",Easy,"Goodfellow, I., et al. (2016). Deep Learning. MIT Press."
249,ML,What is One-Hot Encoding?,Representing categorical variables as binary vectors.,Easy,"Bishop, C. M. (2006). Pattern Recognition and Machine Learning."
250,ML,What is a Hyperparameter?,"Configuration setting external to the model, set before training.",Easy,"Goodfellow, I., et al. (2016). Deep Learning. MIT Press."
251,ML,What is a Confusion Matrix?,Table summarizing prediction results vs actual class labels.,Easy,"Fawcett, T. (2006). An introduction to ROC analysis."
252,ML,What is Bagging?,Ensemble method using bootstrap samples to reduce model variance.,Easy,"Breiman, L. (1996). Bagging predictors. Machine Learning."
253,ML,Explain and derive how kernel ridge regression can be expressed in dual form and how predictions are computed for a new point.,"Dual solution α = (K + λI)^{-1} y. Prediction f(x*) = k(x*,X) α.",Hard,"Espeholt, L., et al. (2018). “IMPALA: Scalable Distributed Deep-RL.” ICML."
254,ML,"Explain vanishing and exploding gradients in deep networks. Derive why tanh/sigmoid can cause vanishing gradients, and discuss initialization strategies to mitigate these issues.","Vanishing due to small derivatives (sigmoid); use proper initialization (Glorot/He), skip connections, normalization to mitigate.",Hard,Silver et al. (2016). AlphaGo Paper.
255,ML,"Design a CNN architecture for semantic segmentation of high-resolution aerial images with limited labeled data. Explain architecture choices, loss functions, and strategies to handle class imbalance.","Use U-Net/DeepLab with pretrained encoder, combine CE + Dice losses, use augmentation and semi-supervised learning to address limited labels.",Hard,"Heess, N., et al. (2017). “Emergence of Locomotion Behaviors in Rich Environments.” arXiv:1707.02286."
256,ML,"Given an NLP classification dataset with heavy label imbalance, design a training strategy including loss choices, sampling, and evaluation metrics. Justify each choice.",Combine oversampling or class-weighted/focal loss; evaluate with F1/PR-AUC; tune thresholds to optimize desired metric.,Hard,Konda & Tsitsiklis (2000). “Actor-Critic Algorithms.” NIPS.
257,ML,"Compare parameter-efficient fine-tuning (e.g., LoRA, adapters) with full fine-tuning. Explain how LoRA modifies training and why it reduces memory/compute costs.",LoRA injects low-rank adapters so only small matrices are trained; significantly reduces memory and parameter updates.,Hard,Schulman et al. (2017). PPO.
258,ML,Describe Proximal Policy Optimization (PPO). Derive the clipped surrogate objective and explain intuitively why clipping stabilizes policy updates.,"PPO objective clips importance weight r to [1-ε,1+ε], preventing large policy updates while allowing useful changes.",Hard,Schaul et al. (2016). Prioritized Replay.
259,ML,Explain and derive how kernel ridge regression can be expressed in dual form and how predictions are computed for a new point.,"Dual solution α = (K + λI)^{-1} y. Prediction f(x*) = k(x*,X) α.",Hard,Mnih et al. (2015). DQN.
260,ML,"Explain vanishing and exploding gradients in deep networks. Derive why tanh/sigmoid can cause vanishing gradients, and discuss initialization strategies to mitigate these issues.","Vanishing due to small derivatives (sigmoid); use proper initialization (Glorot/He), skip connections, normalization to mitigate.",Hard,Sutton et al. (1999). “Policy Gradient Methods for Reinforcement Learning.” NIPS.
261,ML,"Design a CNN architecture for semantic segmentation of high-resolution aerial images with limited labeled data. Explain architecture choices, loss functions, and strategies to handle class imbalance.","Use U-Net/DeepLab with pretrained encoder, combine CE + Dice losses, use augmentation and semi-supervised learning to address limited labels.",Hard,Silver et al. (2014). “Deterministic Policy Gradient Algorithms.” ICML.
262,ML,"Given an NLP classification dataset with heavy label imbalance, design a training strategy including loss choices, sampling, and evaluation metrics. Justify each choice.",Combine oversampling or class-weighted/focal loss; evaluate with F1/PR-AUC; tune thresholds to optimize desired metric.,Hard,Kingma & Welling (2014). “Auto-Encoding Variational Bayes.” ICLR.
263,ML,"Compare parameter-efficient fine-tuning (e.g., LoRA, adapters) with full fine-tuning. Explain how LoRA modifies training and why it reduces memory/compute costs.",LoRA injects low-rank adapters so only small matrices are trained; significantly reduces memory and parameter updates.,Hard,Ho & Ermon (2016). “Generative Adversarial Imitation Learning.” NIPS.
264,ML,Describe Proximal Policy Optimization (PPO). Derive the clipped surrogate objective and explain intuitively why clipping stabilizes policy updates.,"PPO objective clips importance weight r to [1-ε,1+ε], preventing large policy updates while allowing useful changes.",Hard,Goodfellow et al. (2014). “Generative Adversarial Networks.” NeurIPS.
265,ML,Explain and derive how kernel ridge regression can be expressed in dual form and how predictions are computed for a new point.,"Dual solution α = (K + λI)^{-1} y. Prediction f(x*) = k(x*,X) α.",Hard,"Brock, A., Donahue, J., & Simonyan, K. (2019). “BigGAN: Large Scale GAN Training.” ICLR."
266,ML,"Explain vanishing and exploding gradients in deep networks. Derive why tanh/sigmoid can cause vanishing gradients, and discuss initialization strategies to mitigate these issues.","Vanishing due to small derivatives (sigmoid); use proper initialization (Glorot/He), skip connections, normalization to mitigate.",Hard,"Karras, T., et al. (2019). “A Style-Based Generator Architecture for GANs (StyleGAN).” CVPR."
267,ML,"Design a CNN architecture for semantic segmentation of high-resolution aerial images with limited labeled data. Explain architecture choices, loss functions, and strategies to handle class imbalance.","Use U-Net/DeepLab with pretrained encoder, combine CE + Dice losses, use augmentation and semi-supervised learning to address limited labels.",Hard,Dosovitskiy et al. (2021). ViT Paper.
268,ML,"Given an NLP classification dataset with heavy label imbalance, design a training strategy including loss choices, sampling, and evaluation metrics. Justify each choice.",Combine oversampling or class-weighted/focal loss; evaluate with F1/PR-AUC; tune thresholds to optimize desired metric.,Hard,"Oord, A. v. d., et al. (2016). “Wavenet: A Generative Model for Raw Audio.” SSW."
269,ML,"Compare parameter-efficient fine-tuning (e.g., LoRA, adapters) with full fine-tuning. Explain how LoRA modifies training and why it reduces memory/compute costs.",LoRA injects low-rank adapters so only small matrices are trained; significantly reduces memory and parameter updates.,Hard,Radford et al. (2019). GPT-2.
270,ML,Describe Proximal Policy Optimization (PPO). Derive the clipped surrogate objective and explain intuitively why clipping stabilizes policy updates.,"PPO objective clips importance weight r to [1-ε,1+ε], preventing large policy updates while allowing useful changes.",Hard,Brown et al. (2020). GPT-3.
271,ML,Explain and derive how kernel ridge regression can be expressed in dual form and how predictions are computed for a new point.,"Dual solution α = (K + λI)^{-1} y. Prediction f(x*) = k(x*,X) α.",Hard,Touvron et al. (2023). LLaMA.
272,ML,"Explain vanishing and exploding gradients in deep networks. Derive why tanh/sigmoid can cause vanishing gradients, and discuss initialization strategies to mitigate these issues.","Vanishing due to small derivatives (sigmoid); use proper initialization (Glorot/He), skip connections, normalization to mitigate.",Hard,Hu et al. (2022). LoRA Paper.
273,ML,"Design a CNN architecture for semantic segmentation of high-resolution aerial images with limited labeled data. Explain architecture choices, loss functions, and strategies to handle class imbalance.","Use U-Net/DeepLab with pretrained encoder, combine CE + Dice losses, use augmentation and semi-supervised learning to address limited labels.",Hard,Ouyang et al. (2022). InstructGPT Paper.
274,ML,"Given an NLP classification dataset with heavy label imbalance, design a training strategy including loss choices, sampling, and evaluation metrics. Justify each choice.",Combine oversampling or class-weighted/focal loss; evaluate with F1/PR-AUC; tune thresholds to optimize desired metric.,Hard,Bai et al. (2022). “Training a Helpful and Harmless Assistant with RLHF.” Anthropic.
275,ML,"Compare parameter-efficient fine-tuning (e.g., LoRA, adapters) with full fine-tuning. Explain how LoRA modifies training and why it reduces memory/compute costs.",LoRA injects low-rank adapters so only small matrices are trained; significantly reduces memory and parameter updates.,Hard,Ziegler et al. (2019). “Fine-Tuning Language Models from Human Preferences.” arXiv:1909.08593.
276,ML,Describe Proximal Policy Optimization (PPO). Derive the clipped surrogate objective and explain intuitively why clipping stabilizes policy updates.,"PPO objective clips importance weight r to [1-ε,1+ε], preventing large policy updates while allowing useful changes.",Hard,"Lambert, N., et al. (2022). “Distilling Step-by-Step Reasoning from LLMs.” OpenAI Blog."
277,ML,Explain and derive how kernel ridge regression can be expressed in dual form and how predictions are computed for a new point.,"Dual solution α = (K + λI)^{-1} y. Prediction f(x*) = k(x*,X) α.",Hard,OpenAI (2024). GPT-4 Technical Report.
278,ML,Why are Saddle Points a problem in high-dimensional non-convex optimization?,"In high dimensions, local minima are rare; algorithms are more likely to get stuck at saddle points (where gradients are zero but not a minimum in all directions).",Hard,"Dauphin, Y., et al. (2014). Identifying and attacking the saddle point problem in high-dimensional non-convex optimization."
279,ML,Why is Layer Normalization preferred over Batch Normalization in RNNs and Transformers?,"BN depends on batch statistics which are problematic for variable sequence lengths; Layer Norm computes statistics per sample, independent of the batch.",Hard,"Ba, J. L., et al. (2016). Layer Normalization."
280,ML,Why do VAEs often produce blurry images compared to GANs?,"VAEs optimize the Evidence Lower Bound (ELBO) using MSE (or similar) which is mean-seeking (averages modes), whereas GANs minimize divergence that supports sharp mode selection.",Hard,"Larsen, A. B. L., et al. (2016). Autoencoding beyond pixels using a learned similarity metric."
281,ML,What is the No Free Lunch Theorem?,"It states that averaged over all possible data generating distributions, every classification algorithm has the same error rate; no single model is universally superior.",Hard,"Wolpert, D. H. (1996). The Lack of A Priori Distinctions Between Learning Algorithms."
282,ML,What is the specific purpose of Double Q-Learning?,It addresses the maximization bias of standard Q-Learning (which tends to overestimate values) by using two separate networks to decouple action selection from value estimation.,Hard,"Van Hasselt, H., et al. (2016). Deep Reinforcement Learning with Double Q-learning."
283,ML,Explain He (Kaiming) Initialization.,"Initializes weights with variance 2/n to maintain the variance of activations through layers using ReLU, preventing vanishing/exploding gradients.",Hard,"He, K., et al. (2015). Delving Deep into Rectifiers."
284,ML,How does Focal Loss address class imbalance in Object Detection?,"It adds a modulating factor (1 - p_t)^gamma to the Cross-Entropy loss to down-weight easy negatives and focus training on hard, misclassified examples.",Hard,"Lin, T. Y., et al. (2017). Focal Loss for Dense Object Detection."
285,ML,What is Byte Pair Encoding (BPE)?,A subword tokenization algorithm that iteratively merges the most frequent pair of adjacent characters/tokens to handle out-of-vocabulary words.,Hard,"Sennrich, R., et al. (2016). Neural Machine Translation of Rare Words with Subword Units."
286,ML,Why is the PR (Precision-Recall) curve preferred over ROC for imbalanced datasets?,ROC curves can be deceptively optimistic when the negative class is large; PR curves focus only on the positive class (minority) performance.,Hard,"Davis, J., & Goadrich, M. (2006). The Relationship Between Precision-Recall and ROC Curves."
287,ML,How does Nesterov Accelerated Gradient (NAG) differ from standard Momentum?,Standard Momentum calculates the gradient at the current position; NAG calculates the gradient at the approximate future position (lookahead) to correct the velocity vector.,Hard,"Sutskever, I., et al. (2013). On the importance of initialization and momentum in deep learning."
288,ML,What is the structural difference between GRU and LSTM?,"GRU combines the Forget and Input gates into a single Update gate, merges the cell state and hidden state, and lacks a separate Output gate.",Hard,"Cho, K., et al. (2014). Learning Phrase Representations using RNN Encoder-Decoder."
289,ML,What is Score Matching in the context of Diffusion Models?,"A method to train energy-based models by minimizing the difference between the gradient of the log-density of the model and the data, avoiding the need to compute the partition function.",Hard,"Song, Y., & Ermon, S. (2019). Generative Modeling by Estimating Gradients of the Data Distribution."
290,ML,What condition must a kernel function satisfy according to Mercer's Theorem?,The kernel matrix (Gram matrix) must be symmetric and Positive Semi-Definite (PSD) for any finite set of inputs.,Hard,"Mercer, J. (1909). Functions of positive and negative type."
291,ML,What is the core idea of Trust Region Policy Optimization (TRPO)?,It updates the policy by maximizing expected return subject to a constraint on the KL divergence (trust region) between the old and new policy to ensure monotonic improvement.,Hard,"Schulman, J., et al. (2015). Trust Region Policy Optimization."
292,ML,When should Xavier (Glorot) Initialization be used over He Initialization?,"Xavier is optimized for linear, sigmoid, or tanh activations (variance 2/(n_in+n_out)), whereas He is optimized for ReLU variants.",Hard,"Glorot, X., & Bengio, Y. (2010). Understanding the difficulty of training deep feedforward neural networks."
293,ML,What are Rotary Positional Embeddings (RoPE)?,"A technique that encodes absolute position by rotating the query and key vectors in the complex plane, which naturally allows the model to capture relative positional information.",Hard,"Su, J., et al. (2021). Roformer: Enhanced Transformer with Rotary Position Embedding."
294,ML,What is the Elastic Net?,A regularization technique that linearly combines L1 (Lasso) and L2 (Ridge) penalties to handle correlated features and select groups of variables.,Hard,"Zou, H., & Hastie, T. (2005). Regularization and variable selection via the elastic net."
295,ML,How does Non-Maximum Suppression (NMS) work?,It filters object detection proposals by selecting the box with the highest confidence and discarding all other boxes that have an Intersection over Union (IoU) > threshold with it.,Hard,"Girshick, R., et al. (2014). Rich Feature Hierarchies for Accurate Object Detection."
296,ML,What is the Swish activation function and its property?,"Swish is f(x) = x * sigmoid(x); it is non-monotonic and unbounded above, often outperforming ReLU in deeper networks by allowing a small negative flow.",Hard,"Ramachandran, P., et al. (2017). Searching for Activation Functions."
297,ML,What is the role of the Critic in Actor-Critic methods?,"The Critic estimates the value function (state-value or action-value) to compute the advantage or TD error, which reduces the variance of the Actor's policy gradient updates.",Hard,"Konda, V. R., & Tsitsiklis, J. N. (2000). Actor-Critic Algorithms."
298,ML,What is Stacking (Stacked Generalization)?,An ensemble method where a meta-model is trained to combine the predictions of several base models (level-0) to make the final prediction.,Hard,"Wolpert, D. H. (1992). Stacked Generalization. Neural Networks."
299,ML,What is the KV-Cache in LLM inference?,A memory optimization that stores the Key and Value matrices of past tokens during autoregressive generation to prevent re-computing them for every new token.,Hard,"Pope, R., et al. (2023). Efficiently Scaling Transformer Inference."
300,ML,What is the condition number of the Hessian and its impact?,"The ratio of the largest to smallest eigenvalue of the Hessian; a high condition number indicates an ill-conditioned curvature (ravine), causing slow convergence for SGD.",Hard,"Nocedal, J., & Wright, S. J. (2006). Numerical Optimization."
301,ML,What is PAC Learning (Probably Approximately Correct)?,"A theoretical framework to analyze learning algorithms, determining the sample size needed to generate a hypothesis with low error with high probability.",Hard,"Valiant, L. G. (1984). A Theory of the Learnable."
302,ML,How does Latent Diffusion differ from standard Diffusion Models?,"Latent Diffusion applies the diffusion process in a compressed latent space (via VAE) rather than pixel space, significantly reducing computational cost while maintaining quality.",Hard,"Rombach, R., et al. (2022). High-Resolution Image Synthesis with Latent Diffusion Models."
303,ML,Derive the gradient update for logistic regression with cross-entropy loss and L2 regularization.,Gradient w.r.t w: (p - y)x + λ w. Update as above with learning rate η.,Medium,"Silver, D., et al. (2017). “Mastering the Game of Go without Human Knowledge.” Nature, 550(7676)."
304,ML,"Compare ReLU, Leaky ReLU and GELU activations. When would you prefer GELU?",ReLU simple and sparse; Leaky avoids dead neurons; GELU is smooth and often preferred in transformers for performance.,Medium,"Krizhevsky, A., Sutskever, I., & Hinton, G. E. (2012). “ImageNet Classification with Deep Convolutional Neural Networks.” NIPS."
305,ML,Explain the difference between IoU and Dice coefficient. Provide formulas and when each is preferred in segmentation evaluation.,"IoU = intersection/union; Dice = 2*intersection/(sum sizes). Dice can be preferred for small, imbalanced masks.",Medium,"He, K., Zhang, X., Ren, S., & Sun, J. (2016). “Deep Residual Learning for Image Recognition.” CVPR."
306,ML,Explain subword tokenization (BPE/WordPiece). Why is it useful for handling rare words and morphology?,Subword tokenization balances vocabulary size and coverage; represents rare words as sequences of subwords.,Medium,"Devlin, J., Chang, M.-W., Lee, K., & Toutanova, K. (2019). “BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding.” NAACL."
307,ML,Explain instruction tuning and why mixture-of-expert human feedback datasets improve LLM helpfulness.,Instruction tuning uses labeled Q->A pairs; diverse human feedback increases model helpfulness and reduces brittleness.,Medium,"Brown, T. B., et al. (2020). “Language Models are Few-Shot Learners.” NeurIPS (GPT-3 Paper)."
308,ML,Explain experience replay in DQN and why it's important. How does prioritized replay differ and why use it?,Replay reduces correlation and improves stability; prioritized replay focuses learning on informative transitions.,Medium,"Radford, A., et al. (2021). “Learning Transferable Visual Models from Natural Language Supervision (CLIP).” ICML."
309,ML,Derive the gradient update for logistic regression with cross-entropy loss and L2 regularization.,Gradient w.r.t w: (p - y)x + λ w. Update as above with learning rate η.,Medium,"Chen, T., Kornblith, S., Norouzi, M., & Hinton, G. (2020). “A Simple Framework for Contrastive Learning of Visual Representations (SimCLR).” ICML."
310,ML,"Compare ReLU, Leaky ReLU and GELU activations. When would you prefer GELU?",ReLU simple and sparse; Leaky avoids dead neurons; GELU is smooth and often preferred in transformers for performance.,Medium,"Vaswani, A., et al. (2017). “Attention Is All You Need.” NeurIPS."
311,ML,Explain the difference between IoU and Dice coefficient. Provide formulas and when each is preferred in segmentation evaluation.,"IoU = intersection/union; Dice = 2*intersection/(sum sizes). Dice can be preferred for small, imbalanced masks.",Medium,"Radford, A., Narasimhan, K., Salimans, T., & Sutskever, I. (2018). “Improving Language Understanding by Generative Pre-training.” OpenAI Report."
312,ML,Explain subword tokenization (BPE/WordPiece). Why is it useful for handling rare words and morphology?,Subword tokenization balances vocabulary size and coverage; represents rare words as sequences of subwords.,Medium,"Dosovitskiy, A., et al. (2021). “An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale.” ICLR."
313,ML,Explain instruction tuning and why mixture-of-expert human feedback datasets improve LLM helpfulness.,Instruction tuning uses labeled Q->A pairs; diverse human feedback increases model helpfulness and reduces brittleness.,Medium,"Hochreiter, S., & Schmidhuber, J. (1997). LSTM."
314,ML,Explain experience replay in DQN and why it's important. How does prioritized replay differ and why use it?,Replay reduces correlation and improves stability; prioritized replay focuses learning on informative transitions.,Medium,"Rumelhart, D. E., Hinton, G. E., & Williams, R. J. (1986). “Learning Representations by Back-Propagating Errors.” Nature, 323(6088)."
315,ML,Derive the gradient update for logistic regression with cross-entropy loss and L2 regularization.,Gradient w.r.t w: (p - y)x + λ w. Update as above with learning rate η.,Medium,"He, K., Zhang, X., Ren, S., & Sun, J. (2016). Deep Residual Networks. CVPR."
316,ML,"Compare ReLU, Leaky ReLU and GELU activations. When would you prefer GELU?",ReLU simple and sparse; Leaky avoids dead neurons; GELU is smooth and often preferred in transformers for performance.,Medium,"Bengio, Y., Courville, A., & Vincent, P. (2013). “Representation Learning: A Review and New Perspectives.” IEEE TPAMI."
317,ML,Explain the difference between IoU and Dice coefficient. Provide formulas and when each is preferred in segmentation evaluation.,"IoU = intersection/union; Dice = 2*intersection/(sum sizes). Dice can be preferred for small, imbalanced masks.",Medium,Sutton & Barto (2018). Reinforcement Learning: An Introduction.
318,ML,Explain subword tokenization (BPE/WordPiece). Why is it useful for handling rare words and morphology?,Subword tokenization balances vocabulary size and coverage; represents rare words as sequences of subwords.,Medium,"Schulman, J., et al. (2015). “Trust Region Policy Optimization.” ICML."
319,ML,Explain instruction tuning and why mixture-of-expert human feedback datasets improve LLM helpfulness.,Instruction tuning uses labeled Q->A pairs; diverse human feedback increases model helpfulness and reduces brittleness.,Medium,"Silver, D., et al. (2016). “Mastering the Game of Go with Deep Neural Networks and Tree Search.” Nature."
320,ML,Explain experience replay in DQN and why it's important. How does prioritized replay differ and why use it?,Replay reduces correlation and improves stability; prioritized replay focuses learning on informative transitions.,Medium,"Sutton, R. S., & Barto, A. G. (2018). Reinforcement Learning: An Introduction."
321,ML,Derive the gradient update for logistic regression with cross-entropy loss and L2 regularization.,Gradient w.r.t w: (p - y)x + λ w. Update as above with learning rate η.,Medium,"Van Hasselt, H., Guez, A., & Silver, D. (2016). “Deep Reinforcement Learning with Double Q-learning.” AAAI."
322,ML,"Compare ReLU, Leaky ReLU and GELU activations. When would you prefer GELU?",ReLU simple and sparse; Leaky avoids dead neurons; GELU is smooth and often preferred in transformers for performance.,Medium,"Haarnoja, T., et al. (2018). “Soft Actor-Critic Algorithms and Applications.” arXiv:1812.05905."
323,ML,Explain the difference between IoU and Dice coefficient. Provide formulas and when each is preferred in segmentation evaluation.,"IoU = intersection/union; Dice = 2*intersection/(sum sizes). Dice can be preferred for small, imbalanced masks.",Medium,"He, K., et al. (2015). “Delving Deep into Rectifiers: Surpassing Human-Level Performance on ImageNet Classification.” ICCV."
324,ML,Explain subword tokenization (BPE/WordPiece). Why is it useful for handling rare words and morphology?,Subword tokenization balances vocabulary size and coverage; represents rare words as sequences of subwords.,Medium,"He, K., & Sun, J. (2015). Rectifier Networks & He Initialization."
325,ML,Explain instruction tuning and why mixture-of-expert human feedback datasets improve LLM helpfulness.,Instruction tuning uses labeled Q->A pairs; diverse human feedback increases model helpfulness and reduces brittleness.,Medium,"Chollet, F. (2017). Deep Learning with Python. Manning Publications."
